mlbam_id,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
506560,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
553872,0,0,0,0,0,0,1,6.2,3,0,0,0,0,0,7,0,0,0
460283,1,0,0,0,0,1,5,5.0,0,0,0,0,0,0,4,0,0,0
594762,0,0,0,0,0,0,1,3.0,1,0,0,0,1,0,3,1,0,1
501627,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0
488786,1,0,0,0,0,0,0,3.0,1,0,0,0,2,0,1,0,0,0
434678,0,0,0,0,0,0,0,2.1,3,0,0,0,0,0,2,0,0,0
477195,0,0,0,0,0,0,0,2.0,1,0,0,0,1,0,1,0,0,0
543094,0,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0
456121,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
523848,1,0,0,0,0,0,0,5.2,2,0,0,0,2,0,5,0,0,0
544725,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1,0,1
457915,0,0,0,0,0,0,1,1.2,2,0,0,0,1,0,0,0,0,0
518764,0,0,0,0,0,0,0,3.0,2,0,0,0,1,0,3,1,0,0
502281,0,0,0,0,0,0,0,1.1,1,0,0,0,2,0,2,0,0,0
605288,0,0,0,0,0,0,0,2.0,1,0,0,0,2,0,0,0,0,0
434540,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0,1,0,0
543409,0,0,0,0,0,0,1,4.2,0,0,0,0,6,0,4,0,0,0
425560,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0
476595,0,0,0,0,0,0,0,2.1,0,0,0,0,2,0,2,0,0,0
516769,1,0,0,0,0,0,3,7.1,4,0,0,0,2,1,7,0,0,0
489138,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0
461815,0,0,0,0,0,0,0,0.1,2,5,0,1,1,0,0,1,0,0
150274,0,0,0,0,1,0,0,0.1,0,0,0,0,0,0,1,0,0,0
493603,1,0,0,0,3,0,3,10.1,3,0,0,0,2,0,13,1,0,0
572021,0,0,0,0,0,0,0,5.0,3,0,0,0,3,0,3,0,0,1
430605,0,0,0,0,0,0,0,0.2,1,2,0,0,1,0,0,0,0,0
493351,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1,0,0
457456,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
519208,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0
453203,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0
424325,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
453895,0,0,0,0,0,0,0,2.0,2,0,0,0,0,0,0,0,0,0
543803,0,0,0,0,0,0,0,3.1,3,0,0,0,0,0,0,0,0,0
489334,0,0,0,0,0,0,2,4.0,2,0,0,0,3,1,3,0,0,0
595441,0,0,0,0,0,0,0,2.0,2,3,0,0,2,0,1,0,0,0
458690,0,0,0,0,0,0,0,2.0,2,0,0,0,0,0,0,0,0,0
519411,0,0,0,0,0,0,0,3.0,2,0,0,0,1,0,2,0,0,0
648737,2,0,0,0,0,1,3,24.2,15,3,2,1,11,1,23,1,0,1
477229,0,1,0,0,1,0,8,10.1,7,1,1,0,4,1,12,0,0,2
453249,1,0,0,0,0,0,3,39.1,20,4,4,1,10,0,33,1,0,0
451584,8,1,0,0,17,1,18,67.1,33,8,7,3,20,1,78,0,0,1
489039,0,0,0,0,0,0,0,8.0,5,1,1,1,1,0,8,0,0,0
605169,1,0,0,0,0,2,11,31.0,18,5,4,2,7,0,58,2,0,2
458006,2,0,0,0,0,0,6,37.1,31,6,5,3,9,2,28,1,0,0
430630,1,0,0,0,0,1,4,28.0,27,5,4,1,18,3,22,0,0,2
434442,6,1,0,0,1,3,10,44.0,47,9,7,3,14,1,39,2,1,3
611093,0,0,0,0,1,0,0,12.1,9,2,2,2,4,1,17,1,0,1
476454,6,4,0,0,9,4,28,84.0,45,17,14,6,40,2,131,3,0,9
503285,6,2,0,0,6,5,18,65.1,47,13,11,5,14,1,82,5,0,0
448179,2,1,1,1,0,0,0,29.0,14,5,5,2,5,0,36,2,0,0
501870,0,0,0,0,0,0,0,5.2,5,1,1,0,3,1,4,1,0,0
425657,1,0,0,0,0,0,20,39.1,19,8,7,1,16,3,26,0,0,1
527055,3,1,0,0,9,1,3,33.2,27,7,6,1,13,2,37,0,0,7
425794,2,1,0,0,0,0,0,28.0,25,7,5,0,4,0,20,0,0,0
547973,4,4,0,0,33,3,0,66.1,43,13,12,3,33,1,116,5,0,7
425844,19,3,1,0,0,0,0,222.2,148,43,41,14,40,1,200,5,0,7
573186,4,0,0,0,0,0,0,27.0,20,5,5,2,6,0,18,1,1,2
444468,6,4,0,0,30,4,8,70.0,55,19,13,4,15,2,69,3,1,5
571521,1,0,0,0,0,0,0,10.1,9,2,2,0,8,0,5,0,0,1
453562,22,6,4,3,0,0,0,229.0,150,52,45,10,48,2,236,6,0,6
571704,6,3,0,0,15,5,12,70.0,59,23,14,2,25,2,87,1,0,1
571710,2,0,0,0,0,0,4,30.0,20,7,6,1,6,0,38,1,0,0
462515,4,1,0,0,0,0,1,29.2,25,7,6,1,10,1,27,0,0,1
544727,2,2,0,0,43,5,1,78.0,59,16,16,6,19,1,86,2,0,4
446899,0,3,0,0,30,2,4,68.0,48,17,14,3,17,3,36,1,0,2
501789,5,5,0,0,2,4,13,71.0,42,18,15,8,22,1,68,1,0,2
453265,4,1,0,0,1,2,41,75.1,55,17,16,3,17,1,62,4,0,1
502154,4,1,0,0,36,4,0,65.2,51,16,14,3,14,1,79,1,0,5
450275,1,3,0,0,1,4,17,55.0,46,15,12,4,12,1,61,1,0,2
448609,3,4,0,0,0,3,13,54.1,41,13,12,5,15,1,62,1,0,4
518748,3,5,0,0,3,3,15,49.2,31,18,11,4,26,1,67,1,0,8
594772,0,0,0,0,0,0,0,9.0,5,2,2,1,4,0,5,1,0,2
453192,3,2,0,0,36,2,0,61.2,33,16,14,5,20,1,100,5,0,2
572403,2,0,0,0,0,1,3,26.1,18,6,6,1,14,2,13,1,0,1
518703,1,1,0,0,0,0,13,21.2,9,6,5,2,5,2,17,2,0,5
572096,2,4,0,0,48,3,0,68.2,62,16,16,3,25,3,83,1,0,7
477132,16,7,4,3,0,0,0,232.2,163,62,55,15,42,1,301,5,3,9
425492,1,2,0,0,3,3,20,63.1,47,17,15,5,14,1,58,2,0,1
449097,4,3,0,0,24,2,0,63.1,53,22,15,7,12,2,56,7,1,0
543779,7,1,0,0,6,4,28,74.2,53,20,18,4,34,2,90,3,0,0
407819,2,1,0,0,0,1,18,41.1,33,12,10,2,11,3,23,1,0,1
543935,3,3,0,0,2,2,7,70.0,61,19,17,5,11,1,38,2,0,2
592612,2,0,0,0,0,2,11,28.2,24,12,7,4,8,0,27,0,0,2
408061,1,3,0,0,38,2,0,57.0,38,15,14,6,11,1,62,0,0,3
453343,3,2,0,0,51,2,1,76.2,57,22,19,4,14,2,62,2,0,3
493157,2,4,0,0,25,2,0,40.1,28,14,10,3,9,1,47,0,0,4
542888,0,0,0,0,0,0,0,8.0,5,2,2,1,2,0,11,0,0,0
502162,0,1,0,0,0,0,0,4.0,8,1,1,1,3,0,4,0,0,0
500891,0,0,0,0,0,0,0,4.0,4,1,1,0,3,0,3,0,0,1
571927,4,0,0,0,0,0,0,35.2,34,9,9,4,10,0,34,1,0,0
453172,3,1,0,0,0,3,22,67.0,70,21,17,3,19,2,36,7,0,3
573109,2,4,0,0,32,6,4,70.1,45,18,18,6,26,0,87,3,0,2
571479,3,1,0,0,0,0,3,23.1,16,7,6,4,10,0,18,1,0,0
605333,0,1,0,0,0,0,2,11.2,12,3,3,0,7,0,14,1,0,0
605476,2,5,0,0,13,5,22,70.0,49,19,18,2,22,4,92,7,0,6
448178,3,6,0,0,15,5,24,69.2,52,20,18,5,27,1,59,0,0,5
502004,4,4,0,0,0,2,14,73.1,57,20,19,9,12,3,44,0,0,3
276542,6,5,0,0,2,4,28,65.1,36,17,17,7,23,1,63,2,0,2
458584,4,1,0,0,1,2,19,46.0,40,13,12,4,14,2,47,2,0,6
543883,0,1,0,0,0,2,0,23.0,25,8,6,0,10,1,22,0,0,0
545064,0,1,0,0,0,1,7,19.0,16,6,5,2,6,0,18,0,0,0
605309,7,5,0,0,1,3,22,60.1,52,18,16,4,18,0,68,0,1,6
445276,2,1,0,0,36,2,1,52.1,33,14,14,6,8,0,80,2,0,0
459429,1,2,0,0,6,4,19,37.1,27,11,10,3,8,1,48,1,0,1
518468,5,3,0,0,0,0,4,55.2,40,17,15,3,18,1,47,1,0,3
448802,10,6,0,0,0,0,0,129.2,106,37,35,6,30,0,97,3,0,4
592340,1,1,0,0,0,0,2,33.1,24,9,9,1,9,2,34,2,0,2
456034,18,5,3,1,0,0,0,220.1,190,70,60,17,47,2,225,3,0,4
518875,2,2,0,0,0,0,7,51.1,41,18,14,4,15,4,63,0,0,0
519326,3,3,0,0,0,2,20,51.1,34,14,14,4,10,1,50,2,0,1
543964,0,0,0,0,0,0,1,18.1,17,6,5,1,3,0,24,2,0,1
572971,20,8,3,2,0,0,0,232.0,185,68,64,17,51,0,216,2,0,9
446399,5,5,0,0,5,3,9,54.1,39,17,15,4,13,3,70,2,0,4
430641,3,6,0,0,1,2,19,65.0,62,24,18,5,19,4,33,0,0,5
465657,3,1,0,0,24,6,11,67.2,55,20,19,8,19,1,64,2,0,5
594798,14,8,0,0,0,0,0,191.0,149,59,54,16,38,2,205,2,0,6
518886,4,2,0,0,39,4,0,59.1,40,19,17,6,22,1,87,1,0,4
532077,1,6,0,0,20,3,7,69.2,48,21,20,7,16,2,75,1,0,5
607457,2,1,0,0,0,1,6,24.1,12,8,7,1,18,2,30,0,0,1
543037,19,8,0,0,0,0,0,208.0,183,71,60,11,44,1,202,10,0,7
572089,0,0,0,0,0,0,4,10.1,10,3,3,0,3,0,8,0,0,0
473879,5,4,0,0,2,2,21,75.1,65,26,22,4,21,1,71,4,0,8
543746,2,4,0,0,0,0,1,30.2,33,15,9,3,16,5,24,1,0,1
595191,3,3,0,0,0,0,0,51.0,40,16,15,5,13,0,49,0,0,1
502026,5,0,0,0,0,4,23,68.0,64,22,20,5,22,5,67,3,2,4
543219,3,2,0,0,0,1,2,57.1,50,17,17,2,18,5,54,2,0,1
279571,1,1,0,0,0,1,7,33.2,34,10,10,1,15,2,25,3,0,0
517059,0,0,0,0,0,0,0,3.1,2,1,1,1,4,0,2,0,0,0
425856,0,0,0,0,0,0,0,13.1,11,4,4,0,4,0,7,1,0,1
519293,7,2,0,0,0,4,20,63.1,52,23,19,5,24,1,91,1,0,5
518774,13,8,0,0,0,0,0,189.1,156,62,57,18,37,2,188,5,0,4
516969,4,3,0,0,0,7,21,69.2,52,23,21,5,26,1,64,2,0,4
542960,5,3,0,0,1,1,15,79.1,57,25,24,7,38,3,89,0,0,1
543243,14,7,3,2,0,0,0,208.0,166,71,63,17,59,0,169,2,0,13
453344,2,0,0,0,0,0,0,33.0,29,10,10,3,7,0,23,0,0,0
459987,2,1,0,0,0,2,5,52.1,55,17,16,2,15,0,43,3,0,5
605177,5,1,0,0,2,0,16,75.0,56,23,23,3,30,6,58,1,0,2
407793,13,10,1,0,0,0,0,218.0,211,71,67,21,53,5,175,4,3,5
433586,4,2,0,0,38,6,0,58.0,51,19,18,6,23,2,62,2,0,1
605226,0,0,0,0,0,0,2,9.2,8,3,3,2,3,1,10,0,0,0
553878,2,1,0,0,2,1,6,48.1,35,15,15,2,11,2,43,1,1,2
453286,14,12,4,3,0,0,0,228.2,176,74,71,27,34,2,276,5,1,10
430599,7,2,0,0,2,0,0,76.0,69,26,24,7,16,5,79,1,0,2
592222,1,1,0,0,0,1,3,15.2,12,6,5,4,6,2,13,1,0,1
543118,0,0,0,0,0,0,2,15.2,16,7,5,1,9,0,17,0,0,3
623395,2,1,0,0,0,0,2,25.0,17,10,8,1,13,2,18,2,0,1
622663,5,3,0,0,0,0,0,62.1,53,21,20,9,22,0,56,2,1,2
467008,2,6,0,0,3,2,28,68.0,39,24,22,5,29,6,81,4,0,6
461325,5,4,0,0,19,6,8,71.0,49,25,23,8,31,2,64,4,0,6
605228,6,1,0,0,0,0,0,64.2,61,21,21,4,14,0,79,2,0,2
521230,5,0,0,0,0,2,7,64.2,59,23,21,3,11,1,71,2,0,4
518516,18,9,4,2,0,0,0,218.1,181,73,71,21,39,2,234,7,0,1
572038,0,2,0,0,0,0,0,27.2,28,9,9,4,14,1,25,0,1,0
519151,3,2,0,0,0,0,4,27.2,27,9,9,0,12,1,22,0,0,2
543331,8,2,0,0,1,6,18,64.1,44,24,21,7,31,1,52,2,0,3
451085,1,4,0,0,0,2,2,49.0,38,18,16,5,20,3,56,3,0,2
276351,3,4,0,0,24,2,0,33.2,28,13,11,2,10,1,45,0,0,2
453646,4,3,0,0,2,0,1,61.0,50,21,20,6,21,2,55,2,0,1
543766,3,3,0,0,2,4,23,64.0,59,24,21,8,19,1,54,1,0,3
455374,4,1,0,0,1,1,9,57.1,39,19,19,4,26,2,64,3,0,8
489265,0,5,0,0,2,2,34,57.1,51,20,19,3,10,2,71,1,0,4
592102,2,5,0,0,34,4,0,69.1,56,26,23,2,25,2,99,2,0,9
474521,6,4,0,0,35,2,6,72.1,66,25,24,9,17,5,76,2,0,0
592527,0,0,0,0,0,0,0,3.0,2,1,1,1,2,0,1,0,0,0
543506,7,4,0,0,0,1,12,51.0,39,19,17,3,15,1,39,1,0,1
502083,4,4,0,0,1,1,13,69.0,70,28,23,7,23,4,84,3,0,3
593372,14,7,0,0,0,0,1,179.2,168,65,60,13,63,5,184,8,1,8
491646,2,3,0,0,0,3,7,74.2,82,28,25,4,17,4,50,2,0,3
458708,7,2,2,0,0,0,0,65.2,47,22,22,13,8,0,57,2,0,1
641627,4,2,0,0,0,4,14,47.2,43,18,16,2,16,3,27,3,0,1
571946,6,17,2,2,0,0,0,205.1,183,82,69,13,73,8,171,6,2,5
458681,12,11,0,0,0,0,0,175.1,172,66,59,13,68,5,167,5,0,2
518693,0,0,0,0,0,0,12,38.1,31,13,13,4,25,0,40,3,0,0
594736,7,3,1,0,0,0,0,91.1,77,32,31,9,24,1,44,1,1,0
432934,11,6,0,0,0,1,2,123.1,91,44,42,16,43,0,83,0,0,5
592815,0,1,0,0,0,0,2,14.2,13,5,5,2,8,1,20,0,0,3
429719,4,3,0,0,1,1,5,55.2,44,25,19,4,21,1,40,1,1,5
543278,5,3,0,0,0,3,13,61.1,61,23,21,2,22,2,55,1,0,5
592741,6,2,0,0,0,1,10,58.1,49,21,20,10,33,2,64,1,0,4
502381,7,3,0,0,31,5,0,61.0,48,24,21,5,10,2,59,2,0,1
431148,7,11,0,0,0,0,0,183.0,162,77,63,20,59,0,155,9,2,5
458677,5,0,0,0,0,2,29,61.0,49,21,21,3,20,0,66,2,0,4
608648,5,1,0,0,0,0,0,58.0,56,20,20,4,20,0,53,0,0,1
592767,5,2,0,0,0,0,0,66.2,58,24,23,11,20,0,77,1,0,2
462945,0,0,0,0,0,0,4,23.0,17,8,8,2,8,0,25,0,0,0
462136,13,8,0,0,0,0,0,181.0,134,67,63,24,55,2,131,5,0,2
457768,5,4,0,0,0,2,18,63.0,67,26,22,3,26,0,47,3,0,2
456776,0,0,0,0,1,1,7,34.1,26,16,12,6,26,1,35,1,0,3
459967,0,2,0,0,0,1,3,20.0,16,9,7,2,7,0,15,0,0,0
608641,1,0,0,0,0,0,0,31.1,28,12,11,3,10,2,29,1,0,1
612272,0,0,0,0,0,0,1,5.2,5,2,2,1,2,0,5,0,0,0
462985,4,2,0,0,0,0,8,62.1,58,24,22,4,14,0,41,4,2,6
434718,3,3,0,0,40,5,0,62.1,52,22,22,7,20,5,57,0,0,6
491159,1,3,0,0,0,0,6,22.2,23,8,8,1,12,0,26,0,0,0
150359,9,7,0,0,0,0,0,164.0,174,64,58,11,49,2,143,11,1,6
643327,5,1,0,0,0,0,0,36.2,29,13,13,4,17,1,34,3,0,2
452666,2,2,0,0,13,2,8,62.0,56,24,22,3,29,3,60,2,0,2
444436,1,0,0,0,0,0,1,50.2,46,21,18,4,12,2,31,2,0,1
519166,1,0,0,0,0,0,2,14.0,12,5,5,1,6,0,15,0,0,2
592717,7,6,0,0,0,1,10,92.1,74,35,33,9,44,2,61,3,0,8
608349,0,0,0,0,0,1,3,50.1,44,18,18,8,17,1,58,2,0,1
621121,6,7,1,0,0,0,0,125.2,106,49,45,10,43,2,129,5,1,8
502042,12,13,1,1,0,0,0,212.0,175,85,76,19,66,0,252,3,0,13
592789,9,7,0,0,0,0,0,150.0,126,60,54,19,31,2,166,3,0,6
517414,8,4,0,0,1,2,12,72.0,63,28,26,7,33,2,73,1,0,7
453329,7,7,1,0,0,0,0,113.1,114,48,41,6,23,0,107,5,0,3
115629,3,1,0,0,3,2,7,38.2,44,16,14,4,7,1,34,0,0,1
464416,0,2,0,0,0,0,0,19.1,23,8,7,2,3,0,13,0,0,0
475115,10,12,1,0,0,0,0,196.0,172,78,71,9,84,3,212,8,0,14
572193,0,2,0,0,1,0,0,33.0,23,14,12,8,6,0,22,3,0,2
476589,7,7,0,0,1,0,3,131.1,114,51,48,10,39,1,104,7,0,7
518858,2,2,0,0,0,1,6,19.0,12,7,7,5,6,0,27,0,0,0
450282,3,5,0,0,32,3,3,57.0,58,21,21,9,10,2,54,0,0,4
554340,3,5,0,0,1,5,11,56.2,44,23,21,8,10,1,68,2,0,1
452657,11,12,1,0,0,0,0,205.0,183,83,76,16,47,0,207,7,0,8
612672,11,8,0,0,0,0,0,191.1,192,78,71,28,41,0,153,5,0,3
605304,3,1,0,0,0,0,0,35.0,32,14,13,8,17,0,30,1,0,3
543606,9,9,0,0,0,0,0,169.1,149,65,63,18,46,0,150,3,1,5
534910,6,6,1,1,0,0,0,96.2,88,46,36,5,25,1,64,8,0,7
520980,4,2,0,0,0,3,11,51.0,47,22,19,4,11,1,60,1,1,1
500779,9,10,1,1,0,0,0,206.1,218,81,77,16,44,4,177,8,0,5
452027,0,0,0,0,0,0,0,2.2,1,1,1,1,2,0,1,0,0,0
542587,2,1,0,0,0,0,2,34.2,29,17,13,1,19,1,34,0,0,2
468504,2,1,0,0,0,0,0,26.2,24,11,10,4,10,0,21,0,0,0
502087,0,0,0,0,0,0,1,5.1,4,2,2,1,3,0,8,0,0,0
434538,12,7,0,0,0,0,0,186.2,155,75,70,15,70,1,205,5,1,10
592665,3,3,0,0,4,4,14,56.0,58,21,21,3,19,6,51,0,0,2
519301,1,1,0,0,0,0,1,21.1,25,11,8,2,4,2,17,1,0,0
461872,0,0,0,0,0,0,0,13.1,18,9,5,1,4,1,13,0,0,0
434378,5,8,1,1,0,0,0,133.1,113,56,50,13,32,1,113,3,0,2
608379,17,7,0,0,0,0,0,181.1,162,74,68,19,58,4,153,6,1,4
519242,13,11,1,0,0,0,0,208.2,185,88,79,23,42,0,274,13,0,7
425840,1,0,0,0,0,0,6,63.1,58,26,24,12,22,2,58,4,0,2
502085,6,5,0,0,34,7,0,63.1,46,27,24,7,13,2,86,1,0,4
435043,3,6,0,0,1,2,26,60.2,47,26,23,9,32,4,66,3,0,0
451596,13,11,0,0,0,0,0,184.1,193,76,70,15,68,0,121,1,0,10
543881,1,3,0,0,0,0,0,50.0,57,24,19,6,12,2,29,3,1,0
453222,1,1,0,0,0,0,0,36.2,40,19,14,2,13,2,27,3,0,4
519322,2,2,0,0,29,5,5,55.0,45,23,21,4,16,2,67,5,0,2
456501,11,13,2,2,0,0,0,212.0,194,87,81,21,46,1,176,8,4,0
517593,14,10,0,0,0,0,0,185.0,156,79,71,23,53,1,195,7,2,3
544931,11,7,0,0,0,0,0,127.1,115,56,49,14,26,0,155,3,0,4
543859,0,0,0,0,0,0,5,23.1,21,9,9,4,9,2,19,1,0,1
493247,1,0,0,0,0,1,3,10.1,12,5,4,1,0,0,8,0,1,0
