mlbam_id,1B,2B,3B,C,CF,DH,LF,SP,RF,SS,OF,RP
282332,0,0,0,0,0,0,0,23,0,0,0,1
400085,0,0,0,0,0,0,0,0,2,0,2,0
405395,98,0,1,0,0,29,0,0,0,0,0,0
407845,0,0,0,0,0,0,0,55,0,0,0,55
408234,26,0,0,0,0,107,0,0,0,0,0,0
424144,0,0,0,0,0,0,0,67,0,0,0,67
425772,0,0,0,86,0,0,0,2,0,0,0,2
425783,0,0,0,0,0,61,40,0,42,0,82,0
425784,0,0,0,8,0,0,0,0,0,0,0,0
425794,0,0,0,0,0,0,0,31,0,0,0,0
425844,0,0,0,0,0,0,0,33,0,0,0,0
425877,4,0,1,111,0,0,0,0,0,0,0,0
429664,0,99,0,0,0,2,0,0,0,0,0,0
429665,57,1,0,0,0,51,0,0,0,0,0,0
429719,0,0,0,0,0,0,0,18,0,0,0,5
429722,0,0,0,0,0,0,0,3,0,0,0,0
430935,0,0,0,0,0,0,0,27,0,0,0,0
430945,0,0,0,0,1,0,0,0,130,0,131,0
431145,0,0,7,60,0,0,0,4,0,0,0,4
433587,0,0,0,0,0,0,0,15,0,0,0,0
433589,0,0,0,0,0,0,0,80,0,0,0,80
434158,0,0,0,0,0,1,85,0,6,0,91,0
434378,0,0,0,0,0,0,0,34,0,0,0,0
434538,0,0,0,0,0,0,0,69,0,0,0,69
434658,0,0,0,0,0,0,11,0,3,0,14,0
434670,0,0,0,0,0,15,0,0,0,0,0,0
434671,0,0,0,0,0,0,0,30,0,0,0,0
434778,33,0,0,0,0,16,0,1,0,0,0,1
435043,0,0,0,0,0,0,0,30,0,0,0,30
435062,48,23,15,0,0,7,0,0,0,0,0,0
435064,0,0,0,15,0,0,0,0,0,0,0,0
435079,0,72,0,0,0,0,0,1,0,0,0,1
435263,0,0,0,83,0,0,0,0,0,0,0,0
435522,69,1,26,0,0,3,0,0,0,0,0,0
435559,0,0,0,75,0,0,0,0,0,0,0,0
435622,0,0,0,0,74,2,44,1,0,0,118,1
443558,0,0,0,0,0,114,0,0,0,0,0,0
444432,0,0,0,0,0,7,0,0,0,0,0,0
444468,0,0,0,0,0,0,0,62,0,0,0,61
444482,0,0,0,0,0,1,93,0,0,0,93,0
444489,0,0,1,53,0,0,0,0,0,0,0,0
445055,0,0,0,0,0,2,13,0,33,0,46,0
445197,0,0,0,0,0,0,0,28,0,0,0,28
445213,0,0,0,0,0,0,0,62,0,0,0,62
445276,0,0,0,0,0,0,0,62,0,0,0,62
445926,0,0,0,0,0,0,0,48,0,0,0,39
445988,40,0,22,0,0,2,0,0,0,0,0,0
446263,19,0,0,0,0,14,0,0,0,0,0,0
446308,0,0,0,54,0,0,0,0,0,0,0,0
446321,0,0,0,0,0,0,0,18,0,0,0,6
446334,0,0,119,0,0,0,0,0,0,0,0,0
446359,0,1,31,0,0,0,0,0,0,5,0,0
446372,0,0,0,0,0,0,0,7,0,0,0,0
446481,1,3,24,0,2,1,8,2,4,11,14,2
446868,0,0,0,2,0,0,0,0,0,0,0,0
448179,0,0,0,0,0,0,0,13,0,0,0,0
448281,0,0,0,0,0,0,0,63,0,0,0,63
448602,32,0,0,0,0,1,0,1,0,0,0,1
448609,0,0,0,0,0,0,0,36,0,0,0,36
448614,0,0,0,0,0,0,0,4,0,0,0,4
448801,97,0,0,0,0,1,0,1,1,0,1,1
448855,0,0,0,0,0,0,0,72,0,0,0,72
450172,0,0,0,0,0,0,0,11,0,0,0,7
450203,0,0,0,0,0,0,0,33,0,0,0,0
450212,0,0,0,0,0,0,0,20,0,0,0,20
450306,0,0,0,0,0,0,0,30,0,0,0,1
450314,0,32,0,0,0,1,6,1,13,1,19,1
451192,0,0,0,0,0,0,0,0,1,0,1,0
451584,0,0,0,0,0,0,0,50,0,0,0,50
451594,0,0,0,0,58,0,0,0,118,0,176,0
452095,0,0,0,83,0,0,0,0,0,0,0,0
452254,0,0,0,0,0,46,16,0,8,0,24,0
452657,0,0,0,0,0,0,0,31,0,0,0,0
452678,3,31,98,0,0,0,0,0,0,0,0,0
453064,0,0,0,0,0,0,0,0,0,4,0,0
453172,0,0,0,0,0,0,0,72,0,0,0,72
453178,0,0,0,0,0,0,0,63,0,0,0,63
453192,0,0,0,0,0,0,0,73,0,0,0,73
453214,0,0,0,0,0,0,0,6,0,0,0,6
453265,0,0,0,0,0,0,0,60,0,0,0,60
453281,0,0,0,0,0,0,0,26,0,0,0,18
453284,0,0,0,0,0,0,0,60,0,0,0,58
453286,0,0,0,0,0,0,0,27,0,0,0,0
453329,0,0,0,0,0,0,0,12,0,0,0,0
453343,0,0,0,0,0,0,0,66,0,0,0,66
453385,0,0,0,0,0,0,0,10,0,0,0,0
453562,0,0,0,0,0,0,0,24,0,0,0,0
453568,0,0,0,0,0,2,0,0,135,0,135,0
453943,3,0,120,0,0,3,0,0,0,0,0,0
455104,0,0,0,45,0,1,0,0,0,0,0,0
455117,1,0,0,103,0,0,0,0,0,0,0,0
455119,0,0,0,0,0,0,0,58,0,0,0,58
455139,0,0,0,112,0,0,0,0,0,0,0,0
455976,0,0,0,0,0,1,9,0,103,0,112,0
456030,0,4,0,0,0,2,0,0,0,0,0,0
456034,0,0,0,0,0,0,0,22,0,0,0,0
456051,0,0,0,0,0,0,0,12,0,0,0,8
456078,0,0,0,48,0,20,0,0,0,0,0,0
456124,0,0,0,17,0,0,0,0,0,0,0,0
456387,0,0,0,0,0,0,0,2,0,0,0,1
456488,0,31,8,0,0,12,0,1,0,6,0,1
456501,0,0,0,0,0,0,0,4,0,0,0,0
456665,19,0,0,0,0,5,4,0,0,0,4,0
456696,0,0,0,0,0,0,0,47,0,0,0,47
456701,0,0,0,0,0,0,0,31,0,0,0,0
456715,0,0,0,0,143,0,0,0,0,0,143,0
456781,0,36,2,0,0,1,0,0,0,19,0,0
457705,0,0,0,0,15,1,52,0,0,0,67,0
457708,0,0,0,0,0,5,56,0,0,0,56,0
457727,0,0,0,0,3,2,46,0,36,0,85,0
457754,0,0,0,0,0,0,0,9,0,0,0,9
457759,0,1,124,0,0,3,0,0,0,0,0,0
457763,4,0,0,101,0,2,0,0,0,0,0,0
457803,16,0,0,0,0,7,37,0,24,0,61,0
457915,0,0,0,0,0,0,0,51,0,0,0,51
457918,0,0,0,0,0,0,0,31,0,0,0,1
458006,0,0,0,0,0,0,0,67,0,0,0,67
458015,133,0,0,0,0,4,1,0,0,0,1,0
458584,0,0,0,0,0,0,0,5,0,0,0,5
458677,0,0,0,0,0,0,0,45,0,0,0,45
458681,0,0,0,0,0,0,0,33,0,0,0,0
458708,0,0,0,0,0,0,0,51,0,0,0,50
458731,0,0,0,0,98,1,45,0,0,0,143,0
458924,0,0,0,0,0,0,0,12,0,0,0,12
459429,0,0,0,0,0,0,0,45,0,0,0,45
459964,0,0,0,0,0,6,4,0,33,0,37,0
460026,0,0,0,30,0,0,0,0,0,0,0,0
460075,0,0,0,0,0,3,110,0,2,0,112,0
460077,3,0,0,14,0,0,0,0,0,0,0,0
460086,0,0,0,0,0,2,146,2,0,0,146,2
460283,0,0,0,0,0,0,0,45,0,0,0,45
460576,0,0,0,0,22,0,13,0,7,0,42,0
461314,0,0,0,0,0,0,17,0,0,0,17,0
461325,0,0,0,0,0,0,0,53,0,0,0,50
461829,0,0,0,0,0,0,0,19,0,0,0,2
461872,0,0,0,0,0,0,0,59,0,0,0,59
462101,0,0,0,0,0,1,0,0,0,146,0,0
462136,0,0,0,0,0,0,0,5,0,0,0,0
465041,3,0,0,41,0,1,0,0,0,0,0,0
465657,0,0,0,0,0,0,0,71,0,0,0,70
466320,0,0,0,0,0,2,24,0,74,0,98,0
467008,0,0,0,0,0,0,0,50,0,0,0,50
467055,23,0,45,0,0,4,0,1,0,0,0,1
467092,0,0,0,124,0,2,0,0,0,0,0,0
467100,0,0,0,0,0,0,0,34,0,0,0,0
467793,135,0,0,0,0,23,0,0,0,0,0,0
467827,14,1,1,0,12,0,24,1,34,0,70,1
468504,0,0,0,0,0,0,0,25,0,0,0,1
471865,0,0,0,0,0,9,20,0,17,0,37,0
471911,0,0,0,0,0,0,0,23,0,0,0,11
472551,0,0,0,0,0,0,0,21,0,0,0,21
472610,0,0,0,0,0,0,0,64,0,0,0,62
473879,0,0,0,0,0,0,0,61,0,0,0,61
474463,0,0,0,0,0,0,0,31,0,0,0,0
474568,5,8,1,0,0,1,0,0,0,59,0,0
474832,144,0,0,0,0,0,14,0,1,0,15,0
475054,0,0,0,0,0,0,0,71,0,0,0,71
475115,0,0,0,0,0,0,0,7,0,0,0,0
475174,32,0,0,0,0,41,0,0,0,0,0,0
475247,0,2,11,0,0,0,0,0,0,0,0,0
475253,89,0,0,0,0,30,0,0,0,0,0,0
475479,0,0,0,0,0,0,0,41,0,0,0,40
475582,44,0,0,0,0,3,0,0,0,0,0,0
476451,0,0,0,0,0,0,0,9,0,0,0,1
476454,0,0,0,0,0,0,0,1,0,0,0,1
476589,0,0,0,0,0,0,0,25,0,0,0,25
476594,0,0,0,0,0,0,0,10,0,0,0,10
477132,0,0,0,0,0,0,0,29,0,0,0,1
477569,0,0,0,0,0,0,0,3,0,0,0,3
488671,0,0,0,54,0,0,0,2,0,0,0,2
488721,0,1,1,0,11,1,12,0,0,0,23,0
488726,0,0,0,0,0,25,120,0,9,0,129,0
488748,0,0,0,0,0,0,0,64,0,0,0,64
488768,0,0,0,0,0,0,0,42,0,0,0,19
488771,0,0,0,78,0,0,0,0,0,0,0,0
488984,0,0,0,0,0,0,0,5,0,0,0,5
489119,0,0,0,0,0,0,0,33,0,0,0,0
489149,3,0,0,0,0,1,0,0,0,0,0,0
489265,0,0,0,0,0,0,0,65,0,0,0,65
489295,0,0,0,0,0,0,0,6,0,0,0,6
489334,0,0,0,0,0,0,0,76,0,0,0,76
489446,0,0,0,0,0,0,0,60,0,0,0,60
491646,0,0,0,0,0,0,0,16,0,0,0,16
491676,0,0,0,0,2,1,6,0,7,0,15,0
491696,1,0,0,18,0,0,0,1,0,0,0,1
492802,0,0,0,5,0,0,0,0,0,0,0,0
493200,0,0,0,0,0,0,0,21,0,0,0,21
493329,110,4,42,0,0,1,0,0,0,0,0,0
493596,4,39,5,0,0,9,0,0,0,18,0,0
493603,0,0,0,0,0,0,0,73,0,0,0,73
500135,13,31,6,0,0,7,1,0,0,20,1,0
500208,0,10,2,0,0,0,9,0,0,4,9,0
500610,0,0,0,0,0,0,0,1,0,0,0,1
500724,0,0,0,0,0,0,0,5,0,0,0,5
500743,6,3,0,0,0,0,0,0,0,125,0,0
500779,0,0,0,0,0,0,0,32,0,0,0,1
500871,0,33,144,0,0,1,0,0,0,0,0,0
500874,0,0,0,0,0,8,7,0,75,0,82,0
501303,20,7,24,0,0,0,1,1,6,24,7,1
501381,0,0,0,0,0,0,0,26,0,0,0,0
501571,0,0,0,0,125,0,0,0,0,0,125,0
501593,0,0,0,0,0,0,0,45,0,0,0,45
501625,0,0,0,0,0,0,0,67,0,0,0,66
501659,0,0,0,0,3,0,0,0,9,0,12,0
501789,0,0,0,0,0,0,0,68,0,0,0,68
501817,0,0,0,0,0,0,0,2,0,0,0,2
501896,50,0,2,0,0,3,0,0,0,0,0,0
501925,0,0,0,0,0,0,0,28,0,0,0,28
501981,0,0,0,0,0,123,4,0,0,0,4,0
501985,0,0,0,0,0,0,0,32,0,0,0,0
501992,0,0,0,0,0,0,0,4,0,0,0,2
502026,0,0,0,0,0,0,0,48,0,0,0,48
502042,0,0,0,0,0,0,0,23,0,0,0,0
502043,0,0,0,0,0,0,0,34,0,0,0,5
502054,0,0,0,0,0,21,123,0,0,0,123,0
502085,0,0,0,0,0,0,0,7,0,0,0,7
502110,0,0,0,0,0,107,15,0,24,0,39,0
502117,0,3,4,0,8,0,6,0,12,4,26,0
502154,0,0,0,0,0,0,0,66,0,0,0,66
502171,0,0,0,0,0,0,0,3,0,0,0,0
502188,0,0,0,0,0,0,0,32,0,0,0,0
502190,0,0,0,0,0,0,0,32,0,0,0,0
502202,0,0,0,0,0,0,0,29,0,0,0,29
502210,4,0,0,0,9,4,29,0,119,0,157,0
502239,0,0,0,0,0,0,0,37,0,0,0,26
502273,0,33,18,0,0,2,6,1,0,9,6,1
502304,0,0,0,0,0,0,0,4,0,0,0,4
502327,0,0,0,0,0,0,0,19,0,0,0,17
502381,0,0,0,0,0,0,0,6,0,0,0,6
502481,0,0,0,0,103,0,16,0,21,0,140,0
502517,110,3,0,0,0,4,0,0,0,0,0,0
502522,0,0,0,0,0,0,0,17,0,0,0,17
502570,0,0,0,4,0,0,0,0,0,0,0,0
502578,0,0,0,0,0,0,0,3,0,0,0,3
502593,0,0,0,0,0,0,0,6,0,0,0,6
502624,0,0,0,0,0,0,0,32,0,0,0,5
502671,159,0,0,0,0,0,0,0,0,0,0,0
502706,0,0,0,0,0,0,0,51,0,0,0,43
502748,0,0,0,0,0,0,0,23,0,0,0,8
503285,0,0,0,0,0,0,0,8,0,0,0,8
503449,0,0,0,0,0,0,0,42,0,0,0,42
503556,21,2,40,0,0,3,18,0,44,1,62,0
504379,0,0,0,0,0,0,0,47,0,0,0,47
506433,0,0,0,0,0,0,0,31,0,0,0,0
506702,1,0,0,65,0,0,0,0,0,0,0,0
506703,1,4,6,0,0,0,1,0,0,2,1,0
514888,0,121,0,0,0,2,0,0,0,1,0,0
514913,0,2,2,0,0,0,0,0,0,2,0,0
514917,0,157,0,0,0,0,0,0,0,0,0,0
516416,0,0,0,0,0,0,0,0,0,142,0,0
516770,0,117,45,0,0,0,0,0,0,3,0,0
516782,0,0,0,0,130,0,0,0,0,0,130,0
516969,0,0,0,0,0,0,0,57,0,0,0,57
517008,0,0,0,0,0,0,0,62,0,0,0,62
517369,0,0,0,0,0,0,4,0,3,0,7,0
517593,0,0,0,0,0,0,0,1,0,0,0,0
518397,0,0,0,0,0,0,0,28,0,0,0,28
518452,0,0,0,0,0,0,0,39,0,0,0,36
518468,0,0,0,0,0,0,0,4,0,0,0,4
518489,0,0,0,0,0,0,0,62,0,0,0,62
518516,0,0,0,0,0,0,0,34,0,0,0,0
518542,0,0,0,5,0,1,0,0,0,0,0,0
518553,0,0,0,0,0,0,0,70,0,0,0,70
518566,0,0,0,0,0,0,0,38,0,0,0,32
518568,0,3,0,0,0,0,0,0,0,0,0,0
518586,10,0,1,0,0,0,35,2,11,7,46,2
518595,21,0,0,85,0,4,0,0,0,0,0,0
518614,1,45,3,0,0,2,0,1,0,0,0,1
518617,0,0,0,0,0,0,0,76,0,0,0,76
518618,21,58,1,0,0,2,16,0,0,0,16,0
518626,0,0,148,0,0,1,0,0,0,0,0,0
518633,0,0,0,0,0,0,0,23,0,0,0,0
518653,0,1,4,0,0,0,5,0,3,0,8,0
518692,158,0,0,0,0,0,0,0,0,0,0,0
518693,0,0,0,0,0,0,0,1,0,0,0,1
518715,0,0,0,0,0,0,0,66,0,0,0,64
518735,20,0,0,137,0,1,0,0,0,0,0,0
518774,0,0,0,0,0,0,0,12,0,0,0,0
518792,0,0,0,0,84,0,0,0,105,0,189,0
518813,0,0,0,0,0,0,0,40,0,0,0,40
518858,0,0,0,0,0,0,0,13,0,0,0,13
518875,0,0,0,0,0,0,0,50,0,0,0,50
518876,0,0,0,0,0,0,0,32,0,0,0,0
518886,0,0,0,0,0,0,0,23,0,0,0,23
518934,40,75,52,0,0,1,0,0,0,0,0,0
518960,9,0,0,87,0,3,0,0,0,0,0,0
519008,0,0,0,0,0,0,0,51,0,0,0,51
519043,0,0,0,0,0,0,0,2,0,0,0,0
519048,85,0,0,0,0,4,0,0,0,0,0,0
519058,0,47,105,0,0,1,0,0,0,0,0,0
519076,0,0,0,0,0,0,0,10,0,0,0,7
519096,0,0,0,0,0,0,0,25,0,0,0,25
519141,0,0,0,0,0,0,0,46,0,0,0,28
519144,0,0,0,0,0,0,0,32,0,0,0,0
519151,0,0,0,0,0,0,0,55,0,0,0,55
519166,0,0,0,0,0,0,0,22,0,0,0,21
519203,146,0,0,0,0,0,0,0,0,0,0,0
519222,0,0,0,70,0,0,0,1,0,0,0,1
519242,0,0,0,0,0,0,0,25,0,0,0,0
519293,0,0,0,0,0,0,0,63,0,0,0,63
519299,0,74,6,0,0,16,1,0,6,4,7,0
519317,0,0,0,0,0,5,10,0,3,0,13,0
519326,0,0,0,0,0,0,0,28,0,0,0,28
519346,105,0,0,0,0,3,0,0,12,0,12,0
519381,0,0,0,0,0,0,0,2,0,0,0,2
519390,1,0,0,60,0,2,7,0,0,0,7,0
519393,0,0,0,0,0,0,0,70,0,0,0,70
519443,0,0,0,0,0,0,0,73,0,0,0,73
519455,0,0,0,0,0,0,0,23,0,0,0,0
520471,0,32,0,0,0,5,0,0,0,110,0,0
520980,0,0,0,0,0,0,0,71,0,0,0,71
521230,0,0,0,0,0,0,0,75,0,0,0,73
521655,0,0,0,0,0,0,0,48,0,0,0,31
523253,46,8,33,0,0,0,0,0,0,15,0,0
523260,0,0,0,0,0,0,0,55,0,0,0,55
525768,0,0,0,0,0,0,0,9,0,0,0,9
527038,16,64,0,0,0,0,0,0,0,0,0,0
527048,0,0,0,0,0,0,0,32,0,0,0,3
527049,0,0,0,0,20,0,12,0,10,0,42,0
527054,0,0,0,0,0,0,0,33,0,0,0,0
527055,0,0,0,0,0,0,0,4,0,0,0,4
532077,0,0,0,0,0,0,0,66,0,0,0,66
533167,0,0,0,0,0,0,0,5,0,0,0,0
534606,0,0,0,0,12,1,0,0,2,0,14,0
534910,0,0,0,0,0,0,0,6,0,0,0,6
541600,0,0,0,0,0,0,0,0,0,31,0,0
541640,0,0,0,0,0,0,0,1,0,0,0,1
541645,0,0,0,0,12,24,0,0,92,0,104,0
541650,5,45,14,0,0,0,3,3,7,21,10,3
542255,0,0,0,0,63,0,0,0,0,0,63,0
542303,0,0,0,0,0,0,129,0,0,0,129,0
542340,0,111,0,0,0,1,0,0,0,97,0,0
542364,0,0,0,0,3,0,20,0,6,0,29,0
542436,0,4,3,0,0,0,0,0,0,0,0,0
542454,44,17,8,0,27,1,16,0,15,9,58,0
542583,75,0,2,0,0,13,0,0,0,0,0,0
542585,0,0,0,0,0,0,0,35,0,0,0,35
542866,0,0,0,0,0,0,0,15,0,0,0,15
542881,0,0,0,0,0,0,0,5,0,0,0,0
542882,0,0,0,0,0,0,0,54,0,0,0,54
542888,0,0,0,0,0,0,0,55,0,0,0,55
542914,0,0,0,0,0,0,0,44,0,0,0,44
542921,5,8,10,0,0,9,13,0,0,41,13,0
542932,0,0,20,0,21,0,7,0,1,32,29,0
542947,0,0,0,0,0,0,0,53,0,0,0,52
542953,0,0,0,0,0,0,0,28,0,0,0,27
542960,0,0,0,0,0,0,0,58,0,0,0,58
542979,0,0,0,0,65,3,21,0,9,0,95,0
543001,0,0,0,0,0,0,0,9,0,0,0,0
543022,0,0,0,0,0,0,0,38,0,0,0,33
543037,0,0,0,0,0,0,0,33,0,0,0,0
543045,0,0,0,0,0,0,0,60,0,0,0,60
543063,0,0,0,0,0,0,0,0,0,142,0,0
543068,117,0,0,0,0,4,0,0,0,0,0,0
543089,1,0,0,6,0,0,0,1,0,0,0,1
543101,0,0,0,0,0,0,0,31,0,0,0,0
543105,0,0,0,0,0,0,50,0,1,0,51,0
543118,0,0,0,0,0,0,0,50,0,0,0,50
543135,0,0,0,0,0,0,0,23,0,0,0,11
543148,0,0,0,29,0,0,0,1,0,0,0,1
543169,0,0,0,0,0,0,0,11,0,0,0,10
543193,0,0,0,0,0,0,0,18,0,0,0,18
543194,0,0,0,0,13,0,4,0,2,0,19,0
543208,0,0,0,0,0,0,0,52,0,0,0,52
543219,0,0,0,0,0,0,0,1,0,0,0,0
543228,1,0,0,93,0,0,0,0,0,0,0,0
543243,0,0,0,0,0,0,0,31,0,0,0,0
543257,0,0,0,0,1,0,112,0,20,0,133,0
543272,0,0,0,0,0,0,0,60,0,0,0,60
543278,0,0,0,0,0,0,0,39,0,0,0,39
543281,0,34,0,0,0,1,0,0,0,0,0,0
543294,0,0,0,0,0,0,0,30,0,0,0,0
543302,0,0,0,25,0,0,3,0,0,0,3,0
543305,0,0,0,0,58,1,0,0,0,0,58,0
543308,29,0,0,60,0,2,0,0,0,0,0,0
543309,0,0,0,18,0,0,0,0,0,0,0,0
543333,157,0,0,0,0,1,0,0,0,0,0,0
543339,0,0,0,0,0,0,0,69,0,0,0,68
543343,0,0,0,0,0,0,0,6,0,0,0,6
543351,0,0,0,0,0,0,0,28,0,0,0,28
543359,0,0,0,0,0,0,0,8,0,0,0,8
543376,0,0,0,16,0,0,0,2,0,0,0,2
543377,0,13,3,0,0,1,0,0,1,0,1,0
543401,0,117,0,0,0,4,0,0,0,0,0,0
543432,0,0,0,5,0,0,0,0,0,0,0,0
543475,0,0,0,0,0,0,0,28,0,0,0,0
543483,0,0,0,0,0,0,0,50,0,0,0,50
543484,0,0,0,0,7,1,1,0,0,0,8,0
543507,0,0,0,0,0,0,0,65,0,0,0,65
543510,0,0,0,106,0,13,0,0,0,0,0,0
543521,0,0,0,0,0,0,0,35,0,0,0,27
543532,0,0,0,0,0,0,0,7,0,0,0,0
543543,0,13,19,0,0,0,16,0,1,1,17,0
543548,0,0,0,0,0,0,0,23,0,0,0,17
543557,0,0,0,0,0,0,0,33,0,0,0,20
543592,59,15,4,7,0,0,1,0,1,0,2,0
543606,0,0,0,0,0,0,0,30,0,0,0,0
543677,0,0,0,0,0,0,0,1,0,0,0,1
543685,0,1,146,0,0,0,0,0,0,0,0,0
543699,0,0,0,0,0,0,0,31,0,0,0,0
543734,0,0,0,0,0,0,0,2,0,0,0,2
543760,0,0,0,0,0,0,0,0,0,161,0,0
543766,0,0,0,0,0,0,0,70,0,0,0,70
543768,6,2,71,0,0,0,0,0,0,0,0,0
543776,0,0,0,0,3,1,7,1,10,0,20,1
543807,0,0,0,0,75,13,0,0,59,0,134,0
543829,0,111,0,0,0,1,0,0,0,2,0,0
543877,10,2,4,119,0,11,0,0,0,0,0,0
543883,0,0,0,0,0,0,0,32,0,0,0,31
543901,0,0,0,0,0,0,0,18,0,0,0,15
543903,0,0,0,0,0,0,0,12,0,0,0,12
543935,0,0,0,0,0,0,0,13,0,0,0,13
543939,0,147,0,0,0,0,0,0,0,0,0,0
544365,0,0,0,0,0,0,0,16,0,0,0,8
544369,0,0,0,0,0,1,0,0,0,80,0,0
544725,0,2,1,0,80,1,24,0,45,19,149,0
544727,0,0,0,0,0,0,0,66,0,0,0,66
544928,0,0,0,0,0,0,0,14,0,0,0,14
544931,0,0,0,0,0,0,0,33,0,0,0,0
545064,0,0,0,0,0,0,0,56,0,0,0,56
545121,0,48,14,0,0,0,1,0,1,4,2,0
545332,0,0,0,0,0,0,0,2,0,0,0,2
545333,0,0,0,0,0,0,0,34,0,0,0,0
545341,0,0,0,0,62,10,0,0,92,0,154,0
545350,0,0,0,0,109,6,0,0,0,0,109,0
545358,3,0,0,46,0,1,0,1,0,0,0,1
545361,0,0,0,0,122,12,0,0,0,0,122,0
546318,0,0,0,0,37,0,0,0,0,0,37,0
546990,0,0,0,0,2,2,6,0,5,0,13,0
546991,0,0,0,0,125,0,0,0,0,0,125,0
547004,12,1,114,0,0,1,0,0,0,0,0,0
547170,1,0,0,0,0,0,21,0,0,0,21,0
547172,0,8,1,112,0,0,0,0,0,0,0,0
547179,0,0,0,0,18,0,8,73,4,0,30,73
547180,0,0,0,0,0,2,0,0,152,0,152,0
547379,0,0,0,118,0,1,0,0,0,0,0,0
547888,0,0,0,0,0,0,0,32,0,0,0,1
547943,0,0,0,0,0,0,0,29,0,0,0,0
547973,0,0,0,0,0,0,0,60,0,0,0,60
547982,0,0,0,0,65,0,0,0,0,0,65,0
547989,125,0,0,0,0,34,0,0,0,0,0,0
548389,0,0,0,0,0,0,0,32,0,0,0,17
552640,0,0,0,0,0,0,0,37,0,0,0,30
553869,0,0,0,96,0,0,0,0,0,0,0,0
553878,0,0,0,0,0,0,0,56,0,0,0,56
553882,0,1,0,98,0,19,0,0,0,0,0,0
553902,15,2,13,21,0,2,3,0,6,0,9,0
553993,0,0,158,0,0,1,0,0,0,0,0,0
554340,0,0,0,0,0,0,0,64,0,0,0,64
554430,0,0,0,0,0,0,0,31,0,0,0,0
570240,0,0,0,0,0,0,0,22,0,0,0,15
570256,0,0,0,0,0,1,0,0,36,0,36,0
570267,0,0,0,0,0,17,59,0,42,0,101,0
570481,0,0,16,0,1,0,4,0,0,26,5,0
570482,1,0,123,0,0,3,1,0,0,0,1,0
570488,0,0,0,0,0,0,0,11,0,0,0,11
570560,0,149,0,0,0,0,0,0,0,0,0,0
570632,0,0,0,0,0,0,0,24,0,0,0,11
570663,0,0,0,0,0,0,0,71,0,0,0,70
570666,0,0,0,0,0,0,0,43,0,0,0,43
570731,0,113,0,0,0,4,0,0,0,0,0,0
571431,79,0,0,0,0,0,0,0,0,0,0,0
571437,0,0,0,0,16,0,14,1,6,0,36,1
571448,0,0,154,0,0,0,0,0,0,0,0,0
571466,3,0,0,102,0,0,0,0,0,0,0,0
571467,0,0,0,5,0,0,0,0,0,0,0,0
